"code","excluded","topic","type","delivery","level","hasOnDemand","onDemandUrl","captionFileLink","ogImage","title","oneliner","tags","speakers","start"
"LIVE104","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/01fc607c-146a-4fd1-b261-04bf01a9b281","https://medius.microsoft.com/video/asset/Caption/01fc607c-146a-4fd1-b261-04bf01a9b281","https://medius.microsoft.com/video/asset/Thumbnail/01fc607c-146a-4fd1-b261-04bf01a9b281","GitHub, Copilot, VS Code, and More: Live from San Francisco","Join us on stage for live demos, surprise guests, games, live coding, and more.","","","2026/06/03 16:00:00"
"LIVE170","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/ad9a77fd-946a-42fd-aaf6-c2baccaf73ff","https://medius.microsoft.com/video/asset/Caption/ad9a77fd-946a-42fd-aaf6-c2baccaf73ff","https://medius.microsoft.com/video/asset/Thumbnail/ad9a77fd-946a-42fd-aaf6-c2baccaf73ff","Hosted Agents Live: From Code to Production AI at Scale","<p><strong>Introduction and Roles:</strong> The video begins with greetings from Lee Star, Principal Cloud Advocate at Microsoft, who introduces his guest Je...","","Jeff Hollan, Lee Stott","2026/06/03 21:20:00"
"LIVE158","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/0a23b038-c73a-4b01-901d-9098e033af9a","https://medius.microsoft.com/video/asset/Caption/0a23b038-c73a-4b01-901d-9098e033af9a","https://medius.microsoft.com/video/asset/Thumbnail/0a23b038-c73a-4b01-901d-9098e033af9a","How Microsoft AI builds coding models optimized for GitHub Copilot","<p><strong>Introduction and Overview:</strong> The video opens with a friendly welcome from the host at <a class=""medius-aisummary"" data-starttime=""00:00:12""...","","Pierce Boggan, Pengcheng He, Seth Juarez, Yang Liu","2026/06/03 17:55:00"
"LIVE161","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/e408c0a9-ef09-4ef4-b991-9345a95fde70","https://medius.microsoft.com/video/asset/Caption/e408c0a9-ef09-4ef4-b991-9345a95fde70","https://medius.microsoft.com/video/asset/Thumbnail/e408c0a9-ef09-4ef4-b991-9345a95fde70","How we ship models in VS Code","Shipping the right AI model for each task requires a lot of testing and evaluation.","","Seth Juarez, Julia Kasper",
"LIVE148","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/20919845-b4f7-4ac7-ad3f-4a954711c3b5","https://medius.microsoft.com/video/asset/Transcript/20919845-b4f7-4ac7-ad3f-4a954711c3b5","https://medius.microsoft.com/video/asset/Thumbnail/20919845-b4f7-4ac7-ad3f-4a954711c3b5","How Xoople Scales Python for AI using Anyscale on Azure","<p><strong>Introduction and Overview:</strong> The video begins with host Nate Waters from Azure introducing himself and welcoming guest Milos Kolek from Zoo...","","Milos Colic, Nate Waters","2026/06/03 0:10:00"
"LIVE199","False","Agents & apps","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/e4271f82-0b86-40ab-a575-c7596029ed2e","https://medius.microsoft.com/video/asset/Transcript/e4271f82-0b86-40ab-a575-c7596029ed2e","https://medius.microsoft.com/video/asset/Thumbnail/e4271f82-0b86-40ab-a575-c7596029ed2e","Imagine Cup World Championship","<p><strong>Opening and Founders' Reflections:</strong> The video begins with brief introductions from previous Imagine Cup participants sharing their work an...","Azure|Agents|GitHub|Foundry IQ|Microsoft Fabric|Microsoft for Startups|Azure Copilot","Patrick Brown, Rohan Ganesh, Surya Kukkapalli, Troy McBride, Vivaan Sawant, Advika Vuppala, Hans Yang",
"LIVESP122","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/ac4e728e-13e3-415e-bae4-1e118bc96b6a","https://medius.microsoft.com/video/asset/Caption/ac4e728e-13e3-415e-bae4-1e118bc96b6a","https://medius.microsoft.com/video/asset/Thumbnail/c4d84be5-ddcd-494b-9489-a35eb76b26ed","Intel quick take: Live from Microsoft Build","<p><strong>Introduction and Welcome:</strong> The video opens with the host welcoming viewers to the Microsoft Build event <a class=""medius-aisummary"" data-s...","","Bryan Hiestand",
"LIVE165","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/520dcf59-8b05-4f90-aee1-42ae648865ab","https://medius.microsoft.com/video/asset/Caption/520dcf59-8b05-4f90-aee1-42ae648865ab","https://medius.microsoft.com/video/asset/Thumbnail/520dcf59-8b05-4f90-aee1-42ae648865ab","Is DOOM a Tensor?","<p><strong>Introduction and Setup:</strong> The session opens with friendly banter between the hosts as they reintroduce themselves at <a class=""medius-aisum...","","Burke Holland, Anthony Shaw","2026/06/03 20:40:00"
"LIVESP123","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/c4d84be5-ddcd-494b-9489-a35eb76b26ed","https://medius.microsoft.com/video/asset/Caption/c4d84be5-ddcd-494b-9489-a35eb76b26ed","https://medius.microsoft.com/video/asset/Thumbnail/c4d84be5-ddcd-494b-9489-a35eb76b26ed","NVIDIA quick take: Live from Microsoft Build","<p><strong>Introduction and Welcome:</strong> The video opens with the host welcoming viewers to the Microsoft Build event <a class=""medius-aisummary"" data-s...","","Stephen McCullough",
"LIVESP129","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/8a1f6f67-1328-4be4-8a17-c0fff1c551ce","https://medius.microsoft.com/video/asset/Transcript/8a1f6f67-1328-4be4-8a17-c0fff1c551ce","https://medius.microsoft.com/video/asset/Thumbnail/8a1f6f67-1328-4be4-8a17-c0fff1c551ce","Organizational intelligence in action — with Anthropic","<p><strong>Opening and Introductions:</strong> The video begins with Kirwana welcoming viewers and introducing her guest Max from Anthropic <a class=""medius-...","","Max Kirby","2026/06/02 23:05:00"
"LIVE141","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/0a938684-4ae8-403c-9495-2138587205d5","https://medius.microsoft.com/video/asset/Transcript/0a938684-4ae8-403c-9495-2138587205d5","https://medius.microsoft.com/video/asset/Thumbnail/0a938684-4ae8-403c-9495-2138587205d5","Programming robots","<p><strong>Introduction and the ChatGPT Moment:</strong> The discussion begins with the host welcoming the audience and introducing guest Chip Yan, who is kn...","","Chip Huyen, John Maeda","2026/06/02 22:50:00"
"LIVESP126","False","Agents & apps","Broadcast Stage","Online","(100) Foundational","True","https://medius.microsoft.com/Embed/video-nc/120e8a00-0e80-4055-8bbc-1a65857c9963","https://medius.microsoft.com/video/asset/Transcript/120e8a00-0e80-4055-8bbc-1a65857c9963","https://mediastream.microsoft.com/Build2026/V1/itse/1778212929318001f580_20260601103704296.avif","Qualcomm quick take: Live from Microsoft Build","Get a sneak peek of the latest from Qualcomm featuring Microsoft’s Karuana Gatimu and Ana Schafer","AI|Agents|Developer","Ana Schafer, Morris Novello",
"LIVE101","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/df6b109e-848b-4a7a-b791-fcd1e8029278","https://medius.microsoft.com/video/asset/Transcript/df6b109e-848b-4a7a-b791-fcd1e8029278","https://medius.microsoft.com/video/asset/Thumbnail/df6b109e-848b-4a7a-b791-fcd1e8029278","Scott and Mark learn to Vibe Check","<p><strong>Opening and Concept Introduction:</strong> The program begins with Scott Hanselman introducing the segment “Scott and Mark Learn to Vibe Check,” j...","","Scott Hanselman, Mark Russinovich","2026/06/02 20:15:00"
"LIVE114","False","@{displayValue=; logicalValue=}","Broadcast Stage","","","True","https://medius.microsoft.com/Embed/video-nc/aabe7791-a560-45b5-8c66-f6f12a88a9c1","https://medius.microsoft.com/video/asset/Transcript/aabe7791-a560-45b5-8c66-f6f12a88a9c1","https://medius.microsoft.com/video/asset/Thumbnail/aabe7791-a560-45b5-8c66-f6f12a88a9c1","Scott and Mark learn to Vibe Check with Cassidy Williams","<p><strong>Introduction and Setup:</strong> The video opens as hosts Mark and Scott return, referencing their previous showcase by Steve Sanderson, who creat...","","Scott Hanselman, Cassidy Williams",
"LIVE113","False","@{displayValue=; logicalValue=}","Broadcast Stage","","","True","https://medius.microsoft.com/Embed/video-nc/75c37ec5-13dc-431b-89ea-c41f61c33148","https://medius.microsoft.com/video/asset/Transcript/75c37ec5-13dc-431b-89ea-c41f61c33148","https://medius.microsoft.com/video/asset/Thumbnail/75c37ec5-13dc-431b-89ea-c41f61c33148","Scott and Mark learn to Vibe Check with Simon Willison","<p><strong>Introduction and Guest Overview:</strong> The video opens with hosts Mark and Scott returning to continue their developer-focused series, mentioni...","","Scott Hanselman, Simon Willison",
"LIVE116","False","@{displayValue=; logicalValue=}","Broadcast Stage","","","True","https://medius.microsoft.com/Embed/video-nc/412eb4f9-6245-4b44-9497-dd6019195fe5","https://medius.microsoft.com/video/asset/Transcript/412eb4f9-6245-4b44-9497-dd6019195fe5","https://medius.microsoft.com/video/asset/Thumbnail/412eb4f9-6245-4b44-9497-dd6019195fe5","Scott and Mark learn to Vibe Check with Steve Sanderson","<p><strong>Introduction and Guest Reveal:</strong> The video begins with Scott and Mark welcoming viewers back and thanking the event sponsors <a class=""medi...","","Scott Hanselman, Steve Sanderson",
"LIVE115","False","@{displayValue=; logicalValue=}","Broadcast Stage","","","True","https://medius.microsoft.com/Embed/video-nc/e52b8eb8-f1d1-4659-9e59-f1754039b9a1","https://medius.microsoft.com/video/asset/Transcript/e52b8eb8-f1d1-4659-9e59-f1754039b9a1","https://medius.microsoft.com/video/asset/Thumbnail/e52b8eb8-f1d1-4659-9e59-f1754039b9a1","Scott and Mark learn to Vibe Check with Swyx","<p><strong>Introduction and Context:</strong> At the start of the video <a class=""medius-aisummary"" data-starttime=""00:00:00"">00:00:00</a>–<a class=""medius-a...","","swyx (Shawn Wang), Scott Hanselman",
"LIVE176","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/a0766ee6-01ec-4b37-a1b3-ce1ec4426411","https://medius.microsoft.com/video/asset/Transcript/a0766ee6-01ec-4b37-a1b3-ce1ec4426411","https://medius.microsoft.com/video/asset/Thumbnail/a0766ee6-01ec-4b37-a1b3-ce1ec4426411","So you want to become an MVP?","<p><strong>Introduction and Team Overview:</strong> The video begins with a greeting at <a class=""medius-aisummary"" data-starttime=""00:00:00"">00:00:00</a>, i...","","Fernanda Herger, Priyanka Shah, Betsy Weber, Jeremy Sinclair","2026/06/03 0:25:00"
"LIVE142","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/b2a624c7-5cb0-4a3d-b252-274a14cef87e","https://medius.microsoft.com/video/asset/Transcript/b2a624c7-5cb0-4a3d-b252-274a14cef87e","https://medius.microsoft.com/video/asset/Thumbnail/b2a624c7-5cb0-4a3d-b252-274a14cef87e","Student to Startup","<p><strong>Introduction and Background:</strong> At <a class=""medius-aisummary"" data-starttime=""00:00:00"">00:00:00</a>, the interviewer introduces Alicia, th...","","Alycea Adams, Tom Davis","2026/06/03 0:45:00"
"LIVE169","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/39e7b927-a96f-4e0c-bc26-8d9fb757cd58","https://medius.microsoft.com/video/asset/Caption/39e7b927-a96f-4e0c-bc26-8d9fb757cd58","https://medius.microsoft.com/video/asset/Thumbnail/39e7b927-a96f-4e0c-bc26-8d9fb757cd58","The New Agents Window in VS Code","<p><strong>Introduction and Team Overview:</strong> The discussion opens at <a class=""medius-aisummary"" data-starttime=""00:00:00"">00:00:00</a> with Harold jo...","","Burke Holland, Harald Kirschner","2026/06/03 21:00:00"
"LIVE167","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/50305603-5a3c-4f95-ba05-5169880e9354","https://medius.microsoft.com/video/asset/Caption/50305603-5a3c-4f95-ba05-5169880e9354","https://medius.microsoft.com/video/asset/Thumbnail/50305603-5a3c-4f95-ba05-5169880e9354","The PM/dev handoff isn't what it used to be","The PM to dev handoff used to mean a document nobody loved reading and a long wait to find out if the idea actually worked.","","Burke Holland, Courtney Webster","2026/06/03 19:55:00"
"LIVE171","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/eaaffcc3-d8a7-47ab-a42c-d84a91d007e7","https://medius.microsoft.com/video/asset/Transcript/eaaffcc3-d8a7-47ab-a42c-d84a91d007e7","https://medius.microsoft.com/video/asset/Thumbnail/eaaffcc3-d8a7-47ab-a42c-d84a91d007e7","The Three IQs: Ground Your Agents in Knowledge, Data, and Work","<p><strong>Introduction and Context:</strong> The video opens with greetings and introductions from Marco Caslena, VP of Products at Core AI, and Aisha, a De...","","Ayca Bas, Marco Casalaina","2026/06/03 21:30:00"
"LIVE163","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/ad613b19-51cf-4c92-a4c5-cae4670df3ae","https://medius.microsoft.com/video/asset/Caption/ad613b19-51cf-4c92-a4c5-cae4670df3ae","https://medius.microsoft.com/video/asset/Thumbnail/ad613b19-51cf-4c92-a4c5-cae4670df3ae","Toolboxes in Foundry: Build, Search and Govern Your Tools","<p><strong>Introduction and Setup:</strong> The video opens with Seth welcoming viewers back to the Build stage and introducing his colleagues Linda and Atul...","","Atul Aggarwal, Seth Juarez, Linda Li","2026/06/03 19:15:00"
"LIVE155","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/e1161aa1-c289-4c29-8355-7f18e65827fe","https://medius.microsoft.com/video/asset/Transcript/e1161aa1-c289-4c29-8355-7f18e65827fe","https://medius.microsoft.com/video/asset/Thumbnail/e1161aa1-c289-4c29-8355-7f18e65827fe","TypeScript updates: Latest Features and What's next","From improved type inference to performance wins, TypeScript keeps evolving.","","Seth Juarez, Daniel Rosenwasser","2026/06/03 18:15:00"
"LIVE152","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/609cb95c-6575-4206-9586-c26853e87efd","https://medius.microsoft.com/video/asset/Caption/609cb95c-6575-4206-9586-c26853e87efd","https://medius.microsoft.com/video/asset/Thumbnail/609cb95c-6575-4206-9586-c26853e87efd","What's new in GitHub Copilot CLI?","<p><strong>Introduction and Guest Overview:</strong> The session opens with greetings as the hosts confirm they are live (<a class=""medius-aisummary"" data-st...","","Evan Boyle, Burke Holland",
"LIVE143","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/e6e02047-ba96-4845-9f56-11be582215ec","https://medius.microsoft.com/video/asset/Caption/e6e02047-ba96-4845-9f56-11be582215ec","https://medius.microsoft.com/video/asset/Thumbnail/e6e02047-ba96-4845-9f56-11be582215ec","What’s New in Azure Data: HorizonDB and Rayfin","<p><strong>Introduction and Speaker Overview:</strong> The video begins with Nikisha Reyes Grange greeting attendees and wishing them a happy Build conferenc...","","Charles Feddersen, Sachin Patney, Nikisha Reyes-Grange","2026/06/02 23:20:00"
"LIVE109","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/66e36077-6ee0-4e48-a7e4-c206c235379b","https://medius.microsoft.com/video/asset/Transcript/66e36077-6ee0-4e48-a7e4-c206c235379b","https://medius.microsoft.com/video/asset/Thumbnail/66e36077-6ee0-4e48-a7e4-c206c235379b","What’s real, ready, and next for developers with Scott Guthrie","<p><strong>Introduction and Context:</strong> The video begins with Seth Juarez welcoming viewers back to Build and introducing his guest, Scott Guthrie (<a ...","","Scott Guthrie, Seth Juarez","2026/06/02 22:35:00"
"LIVE154","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/cc424a49-15c3-479e-99d9-830cac9021ca","https://medius.microsoft.com/video/asset/Caption/cc424a49-15c3-479e-99d9-830cac9021ca","https://medius.microsoft.com/video/asset/Thumbnail/cc424a49-15c3-479e-99d9-830cac9021ca","Your Browser Lives in VS Code Now","<p><strong>Session Introduction:</strong> At <a class=""medius-aisummary"" data-starttime=""00:00:00"">00:00:00</a>–<a class=""medius-aisummary"" data-starttime=""0...","","Justin Chen, Burke Holland","2026/06/03 19:45:00"
